"Status","DaysEnrollToStart","Campus1","Campus2","ProgramVersionBSDH2017","ProgramVersionBSN2013","ProgramVersionBSN2015","DaysLeadToEnroll","GenderFemale","MaritalStatusDivorced","MaritalStatusMarried","MaritalStatusSeparated","MaritalStatusSingle","MaritalStatusWidowed","AgeAtLead","IsVeteran1","IsHispanic1","FinancialAidAdvisorID1"
"0",63,0,1,0,0,1,1977,1,0,0,0,1,0,23,0,0,1
"0",81,0,1,0,0,1,91,0,0,0,0,1,0,23,0,0,1
"1",94,0,1,0,0,1,-1,1,0,0,0,1,0,26,0,1,0
"1",45,1,0,0,0,1,885,0,0,0,0,1,0,20,0,0,1
"0",68,1,0,0,0,1,0,0,0,0,0,1,0,18,0,0,1
"0",95,0,1,0,0,1,847,0,0,0,0,1,0,20,0,0,1
"1",119,1,0,0,0,1,-1,0,0,0,0,1,0,20,0,0,1
"0",75,0,0,0,0,1,-1,1,0,0,0,1,0,22,0,0,1
"0",53,0,0,0,0,1,-1,1,0,0,1,0,0,27,0,1,1
"1",70,1,0,0,0,1,-1,1,0,0,0,1,0,21,0,0,1
"1",115,0,0,0,0,1,-1,0,0,0,0,1,0,21,0,0,1
"0",153,0,0,0,0,0,10,1,0,0,0,1,0,26,0,1,1
"0",84,0,0,1,0,0,-1,0,0,0,0,1,0,22,0,0,1
"0",112,0,1,0,0,1,-1,1,0,0,0,1,0,21,0,0,1
"1",98,0,1,0,0,1,2141,1,0,0,0,1,0,23,0,1,0
"0",130,0,0,0,0,0,-1,1,0,1,0,0,0,21,0,0,1
"0",84,0,0,0,0,1,189,0,0,0,0,1,0,29,0,0,1
"0",38,0,0,1,0,0,-1,1,0,0,0,1,0,34,0,0,1
"0",87,0,1,0,0,1,94,1,0,0,0,1,0,21,0,0,1
"1",133,0,0,0,0,1,-1,1,0,0,0,1,0,21,0,0,1
"0",66,0,1,0,0,1,0,1,0,0,0,1,0,21,0,0,1
"1",90,0,1,0,0,1,0,0,0,1,0,0,0,22,0,1,0
"0",39,1,0,0,0,1,-1,1,1,0,0,0,0,27,1,0,1
"1",132,0,1,0,0,1,12,1,0,0,0,1,0,20,0,1,1
"0",116,0,0,0,0,1,1525,1,0,0,0,0,0,26,0,0,1
"0",129,0,0,0,0,1,0,0,0,0,0,1,0,21,0,0,1
"0",96,1,0,0,0,0,0,1,0,1,0,0,0,27,1,0,1
"1",77,1,0,0,0,1,13,0,0,0,0,1,0,27,0,0,1
"1",103,0,1,0,0,0,820,1,0,0,0,1,0,30,0,0,1
